id,ticket_id,subject,priority,status,created_date,created_at
1,TKT-0001,Software update required,Low,Resolved,2025-05-14,2025-05-14 01:11:29
2,TKT-0002,Mouse not working,Medium,Closed,2025-04-24,2025-04-24 20:21:45
3,TKT-0003,Request for new license,Critical,Resolved,2025-11-19,2025-11-19 10:44:19
4,TKT-0004,Internet slow,Low,In Progress,2025-12-01,2025-12-01 06:38:20
5,TKT-0005,Software update required,Medium,In Progress,2025-11-27,2025-11-27 01:07:24
6,TKT-0006,Printer not responding,High,Closed,2025-05-04,2025-05-04 02:45:48
7,TKT-0007,Mouse not working,Medium,Open,2025-03-01,2025-03-01 20:58:32
8,TKT-0008,Monitor flickering,Medium,Resolved,2025-05-31,2025-05-31 16:10:46
9,TKT-0009,VPN connection failed,Critical,In Progress,2025-05-07,2025-05-07 22:24:50
10,TKT-0010,Password reset request,Low,Closed,2025-01-30,2025-01-30 07:22:00
11,TKT-0011,Blue screen error,Critical,In Progress,2025-07-27,2025-07-27 02:08:44
12,TKT-0012,Keyboard malfunction,Low,Closed,2025-09-17,2025-09-17 10:41:28
13,TKT-0013,Internet slow,High,In Progress,2025-04-05,2025-04-05 17:06:53
14,TKT-0014,Blue screen error,Critical,In Progress,2025-07-17,2025-07-17 21:42:00
15,TKT-0015,Account locked out,Critical,Resolved,2025-11-28,2025-11-28 09:01:21
16,TKT-0016,Printer not responding,Low,Resolved,2025-06-13,2025-06-13 01:06:07
17,TKT-0017,Password reset request,High,Open,2025-01-08,2025-01-08 03:17:53
18,TKT-0018,Keyboard malfunction,High,Resolved,2025-03-17,2025-03-17 01:15:54
19,TKT-0019,Password reset request,Medium,Closed,2025-06-28,2025-06-28 00:05:35
20,TKT-0020,Request for new license,Medium,Resolved,2024-12-11,2024-12-11 01:32:15
21,TKT-0021,VPN connection failed,Medium,Closed,2025-07-28,2025-07-28 19:51:04
22,TKT-0022,Blue screen error,Critical,In Progress,2025-08-17,2025-08-17 17:01:25
23,TKT-0023,Software update required,Medium,Resolved,2025-03-06,2025-03-06 09:24:50
24,TKT-0024,Email not syncing,High,Closed,2025-09-25,2025-09-25 23:25:39
25,TKT-0025,Mouse not working,Critical,Closed,2025-10-05,2025-10-05 19:51:22
26,TKT-0026,Printer not responding,Critical,Closed,2025-09-08,2025-09-08 06:26:28
27,TKT-0027,Blue screen error,High,Open,2025-04-25,2025-04-25 20:12:29
